,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district_x,predicted_sales,has_shop,rent,disposal,cost_per_grid,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,num_mtr_station_within_1km,num_competitor_within_1km,district_y,zoneName
10,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",ChIJc8eppbAABDQRVsv_lRzCRQI,3.6,85,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3216747,114.1618132,119,6,15,Sham Shui Po,006-011
21,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"33號 Lai Chi Kok Rd, Mong Kok, Hong Kong",ChIJgzTwKMgABDQRZr74AMl5npI,3.6,41,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226191,114.1679433,134,6,18,Yau Tsim Mong,006-011
8,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Office Plus Prince Edward, 794-802 Nathan Rd, Mong Kok, Hong Kong",ChIJgY_0A8oABDQR1pMSiAAkOBQ,3.6,122,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.326218,114.1681298,148,7,18,Sham Shui Po,006-011
5,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Prosperity Court, Shop 4-6, G.F, No, 168 Lai Chi Kok Rd, Prince Edward, Hong Kong",ChIJLeCsibYABDQR4lBxn2Rf4G8,3.6,212,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3256306,114.1645863,150,8,17,Sham Shui Po,006-011
4,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Hong Kong, 香港島 Ko Shan Rd, 109號地下 Lok Man Sun Chuen Site 3 Block H Lok Chee Lau",ChIJxWScl9kABDQRzWnuc2whylg,3.6,55,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3152787,114.186789,102,0,9,Kowloon City District,006-011
9,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Shik On Building, Shop C-E, G/F, Shek On Building, Cheung Sha Wan Rd, Hong Kong",ChIJVdJkq7UABDQR40nZUHTtwvU,3.5,53,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3289116,114.1648553,146,4,15,Sham Shui Po,006-011
27,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094,"Basement, No. 312, G F &, 310 Hennessy Rd, Wan Chai, Hong Kong",ChIJB0pWhFwABDQRBmW1ZZgwB_M,3.5,462,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2771773,114.1759906,98,2,3,Wan Chai,004-011
19,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"324號 Lai Chi Kok Rd, Sham Shui Po, Hong Kong",ChIJnd4Ok7MABDQRhroG_FUlMVQ,3.4,43,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3286594,114.1607825,132,7,14,Sham Shui Po,006-011
24,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Tai Hang Tung Estate Tung Lung House, Shop 4-10, G/F, Hong Kong",ChIJwfkC2jQHBDQRuGoPng9c9q0,3.4,92,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.331574,114.1711688,120,6,5,Sham Shui Po,006-011
30,006-012,22.309273,22.3333752,114.18941126666668,114.2211762,0,,,150,2,6,Kowloon City District,31.853292959240548,0,2.548263436739244,0.0,-2.548263436739244,"On Kay Court Kay Yue House, G/F, On Kay Court Comm. Ctr, 20 Chun Wah Rd, Ngau Tau Kok, Hong Kong",ChIJbxC4w0oBBDQR-UgZ-BGupkg,3.2,170,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226295,114.2172223,75,2,2,Kwon Tong,006-012
20,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"33 Lai Chi Kok Rd, Mong Kok, Hong Kong",ChIJw-HoKMgABDQRQDfVFiu-6Jg,2.8,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226025,114.1679683,134,6,17,Yau Tsim Mong,006-011
