name,lat1,lat2,lon1,lon2,Number_of_shop,Number_of_busStop,district
005-007,22.25,22.28,114.06,114.11,0,0,
005-008,22.25,22.28,114.11,114.16,1,120,Southern
005-009,22.25,22.28,114.16,114.21,3,201,Wan Chai
005-010,22.25,22.28,114.21,114.26,0,104,Eastern
005-011,22.25,22.28,114.26,114.31,0,0,
005-012,22.25,22.28,114.31,114.36,0,0,
005-013,22.25,22.28,114.36,114.41,0,0,
005-014,22.25,22.28,114.41,114.46,0,0,
005-015,22.25,22.28,114.46,114.51,0,0,
006-001,22.28,22.31,113.76,113.81,0,0,
006-002,22.28,22.31,113.81,113.86,0,0,
006-003,22.28,22.31,113.86,113.91,0,2,
006-004,22.28,22.31,113.91,113.96,1,57,
006-005,22.28,22.31,113.96,114.01,0,10,
006-006,22.28,22.31,114.01,114.06,0,27,
006-007,22.28,22.31,114.06,114.11,0,0,
006-008,22.28,22.31,114.11,114.16,11,173,Central and Western District
006-009,22.28,22.31,114.16,114.21,11,247,
006-010,22.28,22.31,114.21,114.26,3,123,
006-011,22.28,22.31,114.26,114.31,0,49,
006-012,22.28,22.31,114.31,114.36,0,0,
006-013,22.28,22.31,114.36,114.41,0,0,
006-014,22.28,22.31,114.41,114.46,0,0,
006-015,22.28,22.31,114.46,114.51,0,0,
007-001,22.31,22.34,113.76,113.81,0,0,
007-002,22.31,22.34,113.81,113.86,0,0,
007-003,22.31,22.34,113.86,113.91,0,0,
007-004,22.31,22.34,113.91,113.96,0,16,
007-005,22.31,22.34,113.96,114.01,0,2,
007-006,22.31,22.34,114.01,114.06,0,5,
007-007,22.31,22.34,114.06,114.11,0,0,
007-008,22.31,22.34,114.11,114.16,2,120,
007-009,22.31,22.34,114.16,114.21,17,499,Kowloon City District
007-010,22.31,22.34,114.21,114.26,1,239,Kwon Tong
007-011,22.31,22.34,114.26,114.31,0,47,
007-012,22.31,22.34,114.31,114.36,0,0,
007-013,22.31,22.34,114.36,114.41,0,0,
007-014,22.31,22.34,114.41,114.46,0,0,
007-015,22.31,22.34,114.46,114.51,0,0,
008-001,22.34,22.369999999999997,113.76,113.81,0,0,
008-002,22.34,22.369999999999997,113.81,113.86,0,0,
008-003,22.34,22.369999999999997,113.86,113.91,0,0,
008-004,22.34,22.369999999999997,113.91,113.96,0,10,
008-005,22.34,22.369999999999997,113.96,114.01,0,10,
008-006,22.34,22.369999999999997,114.01,114.06,0,44,
008-007,22.34,22.369999999999997,114.06,114.11,0,80,Kwai Tsing
008-008,22.34,22.369999999999997,114.11,114.16,3,186,
008-009,22.34,22.369999999999997,114.16,114.21,1,128,Wong Tai Sin
008-010,22.34,22.369999999999997,114.21,114.26,0,21,
008-011,22.34,22.369999999999997,114.26,114.31,0,1,
008-012,22.34,22.369999999999997,114.31,114.36,0,0,
008-013,22.34,22.369999999999997,114.36,114.41,0,0,
008-014,22.34,22.369999999999997,114.41,114.46,0,0,
008-015,22.34,22.369999999999997,114.46,114.51,0,0,
009-001,22.369999999999997,22.4,113.76,113.81,0,0,
009-002,22.369999999999997,22.4,113.81,113.86,0,0,
009-003,22.369999999999997,22.4,113.86,113.91,0,0,
009-004,22.369999999999997,22.4,113.91,113.96,0,14,
009-005,22.369999999999997,22.4,113.96,114.01,0,115,Tuen Mun
009-006,22.369999999999997,22.4,114.01,114.06,0,0,
009-007,22.369999999999997,22.4,114.06,114.11,1,32,Tsuen Wan District
009-008,22.369999999999997,22.4,114.11,114.16,0,80,
009-009,22.369999999999997,22.4,114.16,114.21,1,142,Sha Tin
009-010,22.369999999999997,22.4,114.21,114.26,0,15,
009-011,22.369999999999997,22.4,114.26,114.31,0,41,Sai Kung Area
009-012,22.369999999999997,22.4,114.31,114.36,0,5,
009-013,22.369999999999997,22.4,114.36,114.41,0,0,
009-014,22.369999999999997,22.4,114.41,114.46,0,0,
009-015,22.369999999999997,22.4,114.46,114.51,0,0,
010-001,22.4,22.43,113.76,113.81,0,0,
010-002,22.4,22.43,113.81,113.86,0,0,
010-003,22.4,22.43,113.86,113.91,0,0,
010-004,22.4,22.43,113.91,113.96,0,1,
010-005,22.4,22.43,113.96,114.01,0,75,
010-006,22.4,22.43,114.01,114.06,0,17,Yuen Long District
010-007,22.4,22.43,114.06,114.11,0,34,
010-008,22.4,22.43,114.11,114.16,0,5,
010-009,22.4,22.43,114.16,114.21,0,21,
010-010,22.4,22.43,114.21,114.26,1,64,
010-011,22.4,22.43,114.26,114.31,0,17,
010-012,22.4,22.43,114.31,114.36,0,10,
010-013,22.4,22.43,114.36,114.41,0,0,
010-014,22.4,22.43,114.41,114.46,0,0,
010-015,22.4,22.43,114.46,114.51,0,0,
011-001,22.43,22.459999999999997,113.76,113.81,0,0,
011-002,22.43,22.459999999999997,113.81,113.86,0,0,
011-003,22.43,22.459999999999997,113.86,113.91,0,0,
011-004,22.43,22.459999999999997,113.91,113.96,0,0,
011-005,22.43,22.459999999999997,113.96,114.01,0,84,
011-006,22.43,22.459999999999997,114.01,114.06,1,115,
011-007,22.43,22.459999999999997,114.06,114.11,0,63,
011-008,22.43,22.459999999999997,114.11,114.16,0,30,
011-009,22.43,22.459999999999997,114.16,114.21,2,117,Tai Po District
011-010,22.43,22.459999999999997,114.21,114.26,0,10,
011-011,22.43,22.459999999999997,114.26,114.31,0,0,
011-012,22.43,22.459999999999997,114.31,114.36,0,7,
011-013,22.43,22.459999999999997,114.36,114.41,0,0,
011-014,22.43,22.459999999999997,114.41,114.46,0,0,
011-015,22.43,22.459999999999997,114.46,114.51,0,0,
012-001,22.459999999999997,22.49,113.76,113.81,0,0,
012-002,22.459999999999997,22.49,113.81,113.86,0,0,
012-003,22.459999999999997,22.49,113.86,113.91,0,0,
012-004,22.459999999999997,22.49,113.91,113.96,0,0,
012-005,22.459999999999997,22.49,113.96,114.01,0,32,
012-006,22.459999999999997,22.49,114.01,114.06,0,27,
012-007,22.459999999999997,22.49,114.06,114.11,0,10,
012-008,22.459999999999997,22.49,114.11,114.16,0,40,
012-009,22.459999999999997,22.49,114.16,114.21,0,22,
012-010,22.459999999999997,22.49,114.21,114.26,0,23,
012-011,22.459999999999997,22.49,114.26,114.31,0,0,
012-012,22.459999999999997,22.49,114.31,114.36,0,0,
012-013,22.459999999999997,22.49,114.36,114.41,0,0,
012-014,22.459999999999997,22.49,114.41,114.46,0,0,
012-015,22.459999999999997,22.49,114.46,114.51,0,0,
013-001,22.49,22.52,113.76,113.81,0,0,
013-002,22.49,22.52,113.81,113.86,0,0,
013-003,22.49,22.52,113.86,113.91,0,0,
013-004,22.49,22.52,113.91,113.96,0,1,
013-005,22.49,22.52,113.96,114.01,0,0,
013-006,22.49,22.52,114.01,114.06,0,0,
013-007,22.49,22.52,114.06,114.11,0,30,
013-008,22.49,22.52,114.11,114.16,0,110,North
013-009,22.49,22.52,114.16,114.21,0,15,
013-010,22.49,22.52,114.21,114.26,0,6,
013-011,22.49,22.52,114.26,114.31,0,0,
013-012,22.49,22.52,114.31,114.36,0,0,
013-013,22.49,22.52,114.36,114.41,0,0,
013-014,22.49,22.52,114.41,114.46,0,0,
013-015,22.49,22.52,114.46,114.51,0,0,
014-001,22.52,22.549999999999997,113.76,113.81,0,0,
014-002,22.52,22.549999999999997,113.81,113.86,0,0,
014-003,22.52,22.549999999999997,113.86,113.91,0,0,
014-004,22.52,22.549999999999997,113.91,113.96,0,0,
014-005,22.52,22.549999999999997,113.96,114.01,0,0,
014-006,22.52,22.549999999999997,114.01,114.06,0,0,
014-007,22.52,22.549999999999997,114.06,114.11,0,1,
014-008,22.52,22.549999999999997,114.11,114.16,0,31,
014-009,22.52,22.549999999999997,114.16,114.21,0,24,
014-010,22.52,22.549999999999997,114.21,114.26,0,9,
