name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome,"Prosperity Court, Shop 4-6, G.F, No, 168 Lai Chi Kok Rd, Prince Edward, Hong Kong",ChIJLeCsibYABDQR4lBxn2Rf4G8,3.6,212,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3256306,114.1645863
Wellcome,"Tung Chun Commercial Centre, 438 Shanghai St, Mong Kok, Hong Kong",ChIJEWRfSMcABDQRBhI2aDWtW3A,3.7,281,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3152532,114.1690248
Wellcome Supermarket,"Rondall Building, 香港塘尾, 168-178號 Tai Po Rd, Tai Kok Tsui, Hong Kong",ChIJ2184JbUABDQR88rSBoKEp5s,3.9,32,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3312467,114.1653316
Wellcome,"Centenary Mansion Block 2, Victoria Rd, Kennedy Town, Hong Kong",ChIJGxCjVJf_AzQRRYdRhIu_A-M,3.8,146,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2821211,114.1260485
Wellcome - Superstore,"8 Belcher's St, Kennedy Town, Hong Kong",ChIJtfV0xIT_AzQRKT83L5AOmMU,4.0,547,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2851614,114.1327625
Wellcome,"G/F, Hau Fook Building, Queen's Rd W, Shek Tong Tsui, Hong Kong",ChIJx3fZmIT_AzQRoo3Q3-zwUEU,3.9,96,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2863072,114.1336907
Wellcome,"Shop No. 8-13 Centre Shopping Arcade II, Hong Kong",ChIJG5oFc_r4AzQRIlDOXLUJHQM,3.4,42,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3791409,114.1075428
Wellcome,"503, Portion of G F, 505 Jaffe Rd, Causeway Bay, Hong Kong",ChIJCUBE-lYABDQRLJr6RTUdiSM,3.7,399,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.28119,114.1831972
Wellcome,"United Building Lung To Court, 10C-10G, G/F United Building, Wu Kwong St, Hung Hom, Hong Kong",ChIJM8nFqOAABDQRc0s_s9XgpmA,3.8,493,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3057924,114.1865303
惠康Wellcome Fresh,"3/F, The Westwood, 8 Belcher's St, Kennedy Town, Hong Kong",ChIJORXMeA__AzQRSUchvCAW9kM,4.3,7,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.284968,114.1332523
Wellcome,"Office Plus Prince Edward, 794-802 Nathan Rd, Mong Kok, Hong Kong",ChIJgY_0A8oABDQR1pMSiAAkOBQ,3.6,122,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.326218,114.1681298
