,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
40,003-011,22.2369664,22.2610686,114.15764633333332,114.18941126666668,0,,,46,0,0,,11.686169230621195,0,0.9348935384496956,0.0,-0.9348935384496956
41,003-012,22.2369664,22.2610686,114.18941126666668,114.2211762,0,,,21,0,0,,5.334990300935763,0,0.42679922407486104,0.0,-0.42679922407486104
42,003-013,22.2369664,22.2610686,114.2211762,114.25294113333334,0,,,15,0,0,,3.810707357811259,0,0.3048565886249007,0.0,-0.3048565886249007
43,003-014,22.2369664,22.2610686,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
44,003-015,22.2369664,22.2610686,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
45,004-001,22.2610686,22.2851708,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
46,004-002,22.2610686,22.2851708,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
47,004-003,22.2610686,22.2851708,113.90352686666668,113.9352918,1,3.6,214.0,13,0,0,,3.3026130434364247,1,0.264209043474914,12.611537753638338,12.347328710163424
48,004-004,22.2610686,22.2851708,113.9352918,113.96705673333334,0,,,19,0,0,Islands District,4.826895986560928,0,0.3861516789248743,0.0,-0.3861516789248743
49,004-005,22.2610686,22.2851708,113.96705673333334,113.99882166666669,0,,,4,0,0,,1.016188628749669,0,0.08129509029997353,0.0,-0.08129509029997353
50,004-006,22.2610686,22.2851708,113.99882166666669,114.0305866,0,,,3,0,0,,0.7621414715622519,0,0.06097131772498015,0.0,-0.06097131772498015
51,004-007,22.2610686,22.2851708,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
52,004-008,22.2610686,22.2851708,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
53,004-009,22.2610686,22.2851708,114.09411646666666,114.1258814,0,,,26,0,0,,6.605226086872849,0,0.528418086949828,0.0,-0.528418086949828
54,004-010,22.2610686,22.2851708,114.1258814,114.15764633333332,6,3.883333333333333,209.66666666666663,124,0,4,Central and Western District,27.995117330142733,1,2.2396093864114186,12.611537753638338,10.37192836722692
55,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094
56,004-012,22.2610686,22.2851708,114.18941126666668,114.2211762,0,,,77,2,1,,17.69126318593034,0,1.4153010548744271,0.0,-1.4153010548744271
57,004-013,22.2610686,22.2851708,114.2211762,114.25294113333334,0,,,116,4,0,Eastern,27.482099479287328,0,2.1985679583429865,0.0,-2.1985679583429865
58,004-014,22.2610686,22.2851708,114.25294113333334,114.28470606666669,0,,,6,0,0,,1.5242829431245037,0,0.1219426354499603,0.0,-0.1219426354499603
59,004-015,22.2610686,22.2851708,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
60,005-001,22.2851708,22.309273,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
