name,lat1,lat2,lon1,lon2
001-001,22.188762,22.212864200000002,113.839997,113.87176193333333
001-002,22.188762,22.212864200000002,113.87176193333333,113.90352686666667
001-003,22.188762,22.212864200000002,113.90352686666667,113.9352918
001-004,22.188762,22.212864200000002,113.9352918,113.96705673333334
001-005,22.188762,22.212864200000002,113.96705673333334,113.99882166666667
001-006,22.188762,22.212864200000002,113.99882166666667,114.0305866
001-007,22.188762,22.212864200000002,114.0305866,114.06235153333334
001-008,22.188762,22.212864200000002,114.06235153333334,114.09411646666666
001-009,22.188762,22.212864200000002,114.09411646666666,114.1258814
001-010,22.188762,22.212864200000002,114.1258814,114.15764633333333
001-011,22.188762,22.212864200000002,114.15764633333333,114.18941126666667
001-012,22.188762,22.212864200000002,114.18941126666667,114.2211762
001-013,22.188762,22.212864200000002,114.2211762,114.25294113333334
001-014,22.188762,22.212864200000002,114.25294113333334,114.28470606666667
001-015,22.188762,22.212864200000002,114.28470606666667,114.316471
002-001,22.212864200000002,22.2369664,113.839997,113.87176193333333
002-002,22.212864200000002,22.2369664,113.87176193333333,113.90352686666667
002-003,22.212864200000002,22.2369664,113.90352686666667,113.9352918
002-004,22.212864200000002,22.2369664,113.9352918,113.96705673333334
002-005,22.212864200000002,22.2369664,113.96705673333334,113.99882166666667
002-006,22.212864200000002,22.2369664,113.99882166666667,114.0305866
002-007,22.212864200000002,22.2369664,114.0305866,114.06235153333334
002-008,22.212864200000002,22.2369664,114.06235153333334,114.09411646666666
002-009,22.212864200000002,22.2369664,114.09411646666666,114.1258814
002-010,22.212864200000002,22.2369664,114.1258814,114.15764633333333
002-011,22.212864200000002,22.2369664,114.15764633333333,114.18941126666667
002-012,22.212864200000002,22.2369664,114.18941126666667,114.2211762
002-013,22.212864200000002,22.2369664,114.2211762,114.25294113333334
002-014,22.212864200000002,22.2369664,114.25294113333334,114.28470606666667
002-015,22.212864200000002,22.2369664,114.28470606666667,114.316471
003-001,22.2369664,22.2610686,113.839997,113.87176193333333
003-002,22.2369664,22.2610686,113.87176193333333,113.90352686666667
003-003,22.2369664,22.2610686,113.90352686666667,113.9352918
003-004,22.2369664,22.2610686,113.9352918,113.96705673333334
003-005,22.2369664,22.2610686,113.96705673333334,113.99882166666667
003-006,22.2369664,22.2610686,113.99882166666667,114.0305866
003-007,22.2369664,22.2610686,114.0305866,114.06235153333334
003-008,22.2369664,22.2610686,114.06235153333334,114.09411646666666
003-009,22.2369664,22.2610686,114.09411646666666,114.1258814
003-010,22.2369664,22.2610686,114.1258814,114.15764633333333
003-011,22.2369664,22.2610686,114.15764633333333,114.18941126666667
003-012,22.2369664,22.2610686,114.18941126666667,114.2211762
003-013,22.2369664,22.2610686,114.2211762,114.25294113333334
003-014,22.2369664,22.2610686,114.25294113333334,114.28470606666667
003-015,22.2369664,22.2610686,114.28470606666667,114.316471
004-001,22.2610686,22.2851708,113.839997,113.87176193333333
004-002,22.2610686,22.2851708,113.87176193333333,113.90352686666667
004-003,22.2610686,22.2851708,113.90352686666667,113.9352918
004-004,22.2610686,22.2851708,113.9352918,113.96705673333334
004-005,22.2610686,22.2851708,113.96705673333334,113.99882166666667
004-006,22.2610686,22.2851708,113.99882166666667,114.0305866
004-007,22.2610686,22.2851708,114.0305866,114.06235153333334
004-008,22.2610686,22.2851708,114.06235153333334,114.09411646666666
004-009,22.2610686,22.2851708,114.09411646666666,114.1258814
004-010,22.2610686,22.2851708,114.1258814,114.15764633333333
004-011,22.2610686,22.2851708,114.15764633333333,114.18941126666667
004-012,22.2610686,22.2851708,114.18941126666667,114.2211762
004-013,22.2610686,22.2851708,114.2211762,114.25294113333334
004-014,22.2610686,22.2851708,114.25294113333334,114.28470606666667
004-015,22.2610686,22.2851708,114.28470606666667,114.316471
005-001,22.2851708,22.309273,113.839997,113.87176193333333
005-002,22.2851708,22.309273,113.87176193333333,113.90352686666667
005-003,22.2851708,22.309273,113.90352686666667,113.9352918
005-004,22.2851708,22.309273,113.9352918,113.96705673333334
005-005,22.2851708,22.309273,113.96705673333334,113.99882166666667
005-006,22.2851708,22.309273,113.99882166666667,114.0305866
005-007,22.2851708,22.309273,114.0305866,114.06235153333334
005-008,22.2851708,22.309273,114.06235153333334,114.09411646666666
005-009,22.2851708,22.309273,114.09411646666666,114.1258814
005-010,22.2851708,22.309273,114.1258814,114.15764633333333
005-011,22.2851708,22.309273,114.15764633333333,114.18941126666667
005-012,22.2851708,22.309273,114.18941126666667,114.2211762
005-013,22.2851708,22.309273,114.2211762,114.25294113333334
005-014,22.2851708,22.309273,114.25294113333334,114.28470606666667
005-015,22.2851708,22.309273,114.28470606666667,114.316471
006-001,22.309273,22.3333752,113.839997,113.87176193333333
006-002,22.309273,22.3333752,113.87176193333333,113.90352686666667
006-003,22.309273,22.3333752,113.90352686666667,113.9352918
006-004,22.309273,22.3333752,113.9352918,113.96705673333334
006-005,22.309273,22.3333752,113.96705673333334,113.99882166666667
006-006,22.309273,22.3333752,113.99882166666667,114.0305866
006-007,22.309273,22.3333752,114.0305866,114.06235153333334
006-008,22.309273,22.3333752,114.06235153333334,114.09411646666666
006-009,22.309273,22.3333752,114.09411646666666,114.1258814
006-010,22.309273,22.3333752,114.1258814,114.15764633333333
006-011,22.309273,22.3333752,114.15764633333333,114.18941126666667
006-012,22.309273,22.3333752,114.18941126666667,114.2211762
006-013,22.309273,22.3333752,114.2211762,114.25294113333334
006-014,22.309273,22.3333752,114.25294113333334,114.28470606666667
