name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,district
Wellcome,"Supernova Stand, Shop 2-9, G/F, Mercury St, North Point, Hong Kong",ChIJT_wt0wEBBDQRRaYvO_6quAk,3.6,91,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2859131,114.192035,77,Wan Chai
Wellcome,"A, Albron Court, 99 Caine Rd, Central, Hong Kong",ChIJKYjGwXsABDQRCj11JZRjzyo,3.9,156,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.282525,114.151123,123,Central and Western District
Wellcome,"Cartwright Garden, 1B-1C Bonham Rd, Mid-Levels, Hong Kong",ChIJvTHW23gABDQRnwB83A0hzTA,3.5,40,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2837336,114.1464818,103,Central and Western District
Wellcome,"2 Shung Ling St, No. 12 Hill, Hong Kong",ChIJl0PjItcGBDQRQCHtmZXdHgM,3.5,154,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3360407,114.1960865,92,Wong Tai Sin
Wellcome,"Prosperity Court, Shop 4-6, G.F, No, 168 Lai Chi Kok Rd, Prince Edward, Hong Kong",ChIJLeCsibYABDQR4lBxn2Rf4G8,3.6,212,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3256306,114.1645863,150,Sham Shui Po
Wellcome,"Tung Chun Commercial Centre, 438 Shanghai St, Mong Kok, Hong Kong",ChIJEWRfSMcABDQRBhI2aDWtW3A,3.7,281,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3152532,114.1690248,117,Yau Tsim Mong
Wellcome Supermarket,"Rondall Building, 香港塘尾, 168-178號 Tai Po Rd, Tai Kok Tsui, Hong Kong",ChIJ2184JbUABDQR88rSBoKEp5s,3.9,32,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3312467,114.1653316,145,Sham Shui Po
Wellcome,"Centenary Mansion Block 2, Victoria Rd, Kennedy Town, Hong Kong",ChIJGxCjVJf_AzQRRYdRhIu_A-M,3.8,146,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2821211,114.1260485,43,Central and Western District
Wellcome,"Loon Kee Building, Ground floor, Des Voeux Rd Central, Hong Kong",ChIJWTSes30ABDQRJUzHqXG59K4,3.7,111,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2867674,114.1518339,108,Central and Western District
Wellcome,"G/F, Hau Fook Building, Queen's Rd W, Shek Tong Tsui, Hong Kong",ChIJx3fZmIT_AzQRoo3Q3-zwUEU,3.9,96,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2863072,114.1336907,55,Central and Western District
Wellcome,"503, Portion of G F, 505 Jaffe Rd, Causeway Bay, Hong Kong",ChIJCUBE-lYABDQRLJr6RTUdiSM,3.7,399,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.28119,114.1831972,92,Wan Chai
Wellcome,"United Building Lung To Court, 10C-10G, G/F United Building, Wu Kwong St, Hung Hom, Hong Kong",ChIJM8nFqOAABDQRc0s_s9XgpmA,3.8,493,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3057924,114.1865303,69,Yau Tsim Mong
Wellcome,"Office Plus Prince Edward, 794-802 Nathan Rd, Mong Kok, Hong Kong",ChIJgY_0A8oABDQR1pMSiAAkOBQ,3.6,122,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.326218,114.1681298,148,Sham Shui Po
Wellcome - Kwai Shing,"Shop No. 129, 1/F, Kwai Shing East Estate, Kwai Chung, Hong Kong",ChIJb7dbvpb4AzQRAfcBShjx5qs,3.6,25,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.364627,114.127339,105,Tsuen Wan District
Wellcome,"Shik On Building, Shop C-E, G/F, Shek On Building, Cheung Sha Wan Rd, Hong Kong",ChIJVdJkq7UABDQR40nZUHTtwvU,3.5,53,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3289116,114.1648553,146,Sham Shui Po
Wellcome,"Shop A2, G/F., Arion Comm. Centre 2, 12 Queen's Rd W, Sheung Wan, Hong Kong",ChIJda8u7X4ABDQRxQQkikMp7Es,3.4,86,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.286365,114.148369,109,Central and Western District
Wellcome - Superstore,"8 Belcher's St, Kennedy Town, Hong Kong",ChIJtfV0xIT_AzQRKT83L5AOmMU,4.0,547,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2851614,114.1327625,55,Central and Western District
惠康Wellcome Fresh,"3/F, The Westwood, 8 Belcher's St, Kennedy Town, Hong Kong",ChIJORXMeA__AzQRSUchvCAW9kM,4.3,7,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.284968,114.1332523,57,Central and Western District
Wellcome,"G/F, Yue Tin Court, Yue Tin Court Market, 11-23 Ngan Shing St, Sha Tin, Hong Kong",ChIJE4tGhE8GBDQR-jiJfeavgEk,3.8,60,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3830986,114.2025315,54,Sha Tin
Wellcome,"Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",ChIJc8eppbAABDQRVsv_lRzCRQI,3.6,85,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3216747,114.1618132,119,Sham Shui Po
