name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome,"香港島 Ko Shan Rd, 109號地下 Lok Man Sun Chuen Site 3 Block H Lok Chee Lau",ChIJxWScl9kABDQRzWnuc2whylg,3.6,55,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3152787,114.186789
Hui Kang Supermarket,"33 Lai Chi Kok Rd, Mong Kok",ChIJSeDvKMgABDQRs-xhA-9meC8,3.6,5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226187,114.1679437
Wellcome Supermarket,"324號 Lai Chi Kok Rd, Sham Shui Po",ChIJnd4Ok7MABDQRhroG_FUlMVQ,3.4,43,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3286594,114.1607825
PARKnSHOP Click & Collect (深水埗海祥大廈),"九龍深水埗大埔道72-74號海祥大廈地下B室 Shop B on G/F, Hoi Cheung Building, Nos. 72-74, Tai Po Rd, Sham Shui Po",ChIJoUrkd7UABDQRxQMOIimR0oQ,3.4,146,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3289814,114.1669263
PARKnSHOP (旺角富榮花園),"九龍旺角海庭道8號富榮花園第2期地下66B號舖 Shop No. 66B, G/F, Site 2 of Charming Garden, 8 Hoi Ting Rd, Mong Kok",ChIJYV0oIb8ABDQRxIgvn8M8EkA,3.5,67,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.314378,114.1649757
Wellcome,"Standard Chartered Bank Building - San Po Kong, Shop A-D, G/F, The Chartered Bank Building, No, Ning Yuen St",ChIJr9bsktYGBDQRVPAqyuN0QqI,3.7,47,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3341059,114.195305
Wellcome,"Jade Mansion, 40 Waterloo Rd, Yau Ma Tei",ChIJgY04H8EABDQR3h5KFWbhB9I,3.7,190,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3127853,114.1710185
Kai Bo Food Supermarket,"78號 Shui Wo St, Kwun Tong",ChIJ05EkQr0BBDQR_Du4nQsACJE,3.9,14,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3157741,114.2256434
Wellcome,"Lei Yue Mun Plaza Shop 123-124, Level, 1, Yau Tong",ChIJG1qlp94GBDQRW7XSZwlK08E,3.4,117,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2960286,114.2395595
PARKnSHOP Click & Collect (油塘油麗邨),"九龍油塘油塘道9號油麗商場地下1號舖 Shop No. 1, G/F, Yau Lai Shopping Centre, Yau Tong Rd, Yau Tong",ChIJu1qY2V8BBDQRYlJPhL2pieQ,3.4,60,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.2985562,114.237053
Wellcome,"Sim City Of Chung Kiu Comm, 47, 51 Shantung St, Mong Kok",ChIJ2ZOxr8cABDQRp8QKPfEuEBg,3.7,97,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3176834,114.1701697
PARKnSHOP Click & Collect (油麻地金華大廈),"Kam Wah Building, 九龍油麻地廣東道831號金華大廈F及G座地下 G/F, Block F&G, No. 831 Canton Rd, Yau Ma Tei",ChIJsz60mcAABDQR06-HWCww-pM,3.6,173,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3131317,114.1681803
PARKnSHOP Click & Collect (深水埗青山道),"九龍深水埗元州街280-288號東蘭閣A座A,B,D號舖 Shops A,B&D, G/F, Eastland Towers 183-191 Castle Peak Road, 167B-E Pratas Street & 280-288, Un Chau St, Sham Shui Po",ChIJq6o6-EwHBDQRpkNzh6SN4F0,3.5,113,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3356503,114.1597466
PARKnSHOP (新蒲崗衍慶街),"九龍新蒲崗衍慶街21-29號富源樓地下 Portion of G/F, Foo Yuen Building, Nos 21, 23, 27 and 29, Yin Hing St, San Po Kong",ChIJPX58TXAHBDQRk1te5KlpVbE,3.5,195,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3354196,114.1948982
惠康,"地下A舖, Tung Nam Factory Building, 40號 Ma Tau Kok Rd, Ma Tau Chung",ChIJgUeuc9YABDQRwdaX8NRuRJc,3.9,29,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3220848,114.1899161
Kai Bo Food Supermarket,"56 Nga Tsin Long Rd, Kowloon City",ChIJU5O-6CoHBDQRkOY8DKp5Df4,3.4,126,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.329952,114.1894632
Wellcome,"Shop 14-22, G/F., Cheong Yat Hse. Nam Cheong Est., Sham Shui Po, Kln",ChIJmcAAxLEABDQR8cFuwLMIdGw,3.8,17,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3259711,114.1572588
